Parameter,Data_categories_A,Data_categories_B,Data_categories_C,Relationship to dynamic population model,Definition,Definition notes,Stratification,DataType,Calculations,Related parameters,Species_Sheep,Species_goats,DPM.V1.0_code,DPM.V2.0_code,code_notes,Modeling notes,AHLE: current,AHLE: ideal
Manure price,Prices,,,Input parameter,Financial value of manure per kg in local economy,,,Floating number,,,1,1,Man_value,Man_value,,,Current estimate,As current
Milk price,Prices,,,Input parameter,Average value of milk per litre in the local economy,,,Floating number,,,1,1,milk_value_ltr,milk_value_ltr,,,current estimate,As current
Carcase yield,Productivity,,,Input parameter,Average proportion of liveweight retained following dressing of carcase,Need average carcase weight to calculate this,,floating number,carase weight/liveweight,"Liveweight, carcase weight",1,1,ccy,ccy,,,Current estimate,As current
Days milked,Productivity,,,Input parameter,Average number of days lactating animals are milked for ,,Production system,Integer,Parturition rate per month*Milk proportion*Days milked*Milk yield,"Partuition rate, Milk proporation, Days milked, Milk yeild",1,1,lac_duration,lac_duration,,,current estimate,Ideal estimate
Draught days,Productivity,,,Input parameter,Average number of draught days worked per draught animal per year,,,Floating number,,,1,1,draught_rate,draught_rate,,,,
Manure yeild,Productivity,,,Input parameter,Weigth manure production over time period per animal,Time period used in DPM model is per day but may be reported differently in different data sources,Age,Floating number,,,1,1,"Man_N, Man_J, Man_A","Man_N, Man_J, Man_A",,,Current estimate,As current
Litter size,Reproduction,,,Input parameter,Average number offspring born per litter,,"Breed, production system",Floating number,,,1,1,prolif,prolif,,,Current estimate,Ideal estimate
Parturition rate,Reproduction,,,Input parameter,Average number of litters per adult female per year,,"Breed, production system",Floating number,Litter number/litter interval,Litter interval,1,1,part,part,,,Current estimate,Ideal estimate
Population,Population,,,Input parameter,Average population number over time-period (typically one year),Average population number used as a point estimate Population at time 0,"Sex, age, breed, production system",Integer,,,1,1,"N_NF_t0, N_NM_t0, N_JF_t0 , N_JM_t0 , N_AF_t0, N_AM_t0, N_O_t0","N_NF_t0, N_NM_t0, N_JF_t0 , N_JM_t0 , N_AF_t0, N_AM_t0, N_O_t0",,,Current estimate,As current
Liveweight,Weight,,,Input parameter,Average livewight per head,"Average liveweight of animals , ideally stratified by age, sex, production system, but popoulation average if this data not available","Age, sex",Floating number,Mean liveweight,"carase weight, carcase yield, feed",1,1,"lwNF, lwNM, lwJF, lwJM, lwAF, lwAM, lwO","lwNF, lwNM, lwJF, lwJM, lwAF, lwAM, lwO",,,Current estimate,Ideal estimate
Maturation rate,System characteristics,,,Input parameter,Rate at which animals move between age categories,"Formally called GROWTH RATE in DPM v1.0. Currently defined as a simple timestep ie 1/6 for small ruminants moving between all 3 age groups, 1/12 for cattle moving between neonate and juvenile and 1/24 for cattle moving from juv to adult",,Floating number,1/numbner of months in age category,Age stratification,1,1,"Beta_N, Beta_J","Beta_N, Beta_J",,,Fixed,Fixed
Milk proportion,Outputs,,,Input parameter,Proportion of adult females that are milked after they give birth ,This is a proportion of adult females who have given birth not all adult females,production system,Floating number,Parturition rate per month*Milk proportion*Days milked*Milk yield,"Partuition rate, Milk proporation, Days milked, Milk yeild",1,1,prop_F_milked,prop_F_milked,,,Fixed,Fixed
Milk yeild,Productivity,,,Input parameter,Average daily milk yield for an animal through her lactation,Time period used in DPM model is milk yield per day but this may be reported differently in different data sources,production system,Floating number,Parturition rate per month*Milk proportion*Days milked*Milk yield,"Partuition rate, Milk proporation, Days milked, Milk yeild",1,1,avg_daily_yield_ltr,avg_daily_yield_ltr,,,current estimate,Ideal estimate
Wool value,Prices,,,Input parameter,Financial value of wool per kg in local economy,,,floating number,,,1,0,"placeholder code, not in model yet - Quant_Wool_M[i, ] <- Quant_Wool","placeholder code, not in model yet - Quant_Wool_M[i, ] <- Quant_Wool",,,,
Wool yield,Productivity,,,Input parameter,Weight wool produced in time period per animal,Time period used in DPM model is per month but may be reported differently in different data sources,"Age, sex",floating number,,,1,0,"placeholder code, not in model yet - Quant_Wool_M[i, ] <- Quant_Wool","placeholder code, not in model yet - Quant_Wool_M[i, ] <- Quant_Wool",,,,
